chr22	17651958	17652963	chr22	17738917	17739494	6
chr22	17564978	17566375	chr22	17652325	17653688	6
chr22	17652354	17653076	chr22	17748981	17750426	10
chr22	17397509	17398723	chr22	17979868	17981155	17
chr22	17640752	17641588	chr22	17980101	17981341	4
chr22	17695013	17696898	chr22	17980786	17981127	5
chr22	17397232	17400263	chr22	17537636	17539682	69
chr22	17601224	17601467	chr22	17980285	17981084	4
chr22	17555388	17557478	chr22	17651113	17653869	64
chr22	17554865	17558708	chr22	17979333	17981442	56
chr22	17397921	17399013	chr22	17541337	17541796	4
chr22	17640126	17640850	chr22	17651859	17653023	7
chr22	17847376	17848310	chr22	17980722	17980935	4
chr22	17648674	17650395	chr22	17979831	17981161	11
chr22	17398399	17398792	chr22	17490475	17491031	4
chr22	17558155	17558799	chr22	17652163	17653052	4
chr22	17749075	17749931	chr22	17980027	17981197	12
chr22	17413070	17414059	chr22	17652398	17652941	6
chr22	17413217	17413877	chr22	17538572	17539505	10
chr22	17398073	17399492	chr22	17651916	17653377	12
chr22	17398001	17398547	chr22	17977913	17978705	4
chr22	17555600	17556240	chr22	17587550	17587925	4
chr22	17651241	17653832	chr22	17977418	17982442	219
chr22	17693303	17694414	chr22	17980499	17981503	5
chr22	17686000	17687085	chr22	17980014	17981343	33
chr22	17397960	17399634	chr22	17534857	17537064	14
